CreationTime         LastWriteTime         FullName
------------         -------------         --------
5/3/2026 2:08:18 AM  5/3/2026 2:09:14 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 2:10:06 AM  5/3/2026 2:10:06 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 2:10:18 AM  5/3/2026 2:11:53 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 2:12:07 AM  5/3/2026 2:13:31 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\unit_4_r...
5/3/2026 2:16:31 AM  5/3/2026 5:14:54 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 2:17:45 AM  5/3/2026 2:18:50 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 2:19:04 AM  5/3/2026 2:19:27 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_2...
5/3/2026 2:19:35 AM  5/3/2026 2:22:08 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\lesson_3...
5/3/2026 2:28:15 AM  5/3/2026 2:28:15 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_2\unit_5_r...
5/3/2026 2:29:41 AM  5/3/2026 2:29:41 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_1\part_1_t...
5/3/2026 2:32:28 AM  5/3/2026 12:13:41 PM  C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\unit_6_r...
5/3/2026 2:35:02 AM  5/3/2026 2:35:02 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:36:16 AM  5/3/2026 2:36:16 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:36:25 AM  5/3/2026 2:37:14 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:38:56 AM  5/3/2026 2:38:57 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:39:12 AM  5/3/2026 3:01:04 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:41:34 AM  5/3/2026 2:42:19 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:42:28 AM  5/3/2026 2:43:40 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\unit_6_r...
5/3/2026 2:43:56 AM  5/3/2026 2:47:26 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\unit_7_e...
5/3/2026 2:46:44 AM  5/3/2026 2:46:44 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:48:14 AM  5/3/2026 2:52:16 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:51:29 AM  5/3/2026 2:51:29 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_3...
5/3/2026 2:53:43 AM  5/3/2026 2:55:46 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 2:54:28 AM  5/3/2026 2:54:28 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 2:59:26 AM  5/3/2026 2:59:26 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 3:00:23 AM  5/3/2026 3:00:23 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 3:01:42 AM  5/3/2026 3:04:08 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\unit_7_r...
5/3/2026 3:02:31 AM  5/3/2026 3:23:56 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\unit_8_s...
5/3/2026 3:05:02 AM  5/3/2026 3:41:03 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 3:05:13 AM  5/3/2026 3:37:07 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 3:05:18 AM  5/3/2026 3:41:39 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 3:05:24 AM  5/3/2026 3:41:53 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 3:05:30 AM  5/3/2026 3:42:47 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_4...
5/3/2026 3:05:34 AM  5/3/2026 3:33:37 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\lesson_5...
5/3/2026 3:06:00 AM  5/3/2026 3:31:40 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\unit_8_r...
5/3/2026 3:06:09 AM  5/3/2026 3:30:24 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_3\part_3_t...
5/3/2026 3:07:08 AM  5/3/2026 5:23:36 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\part_4_p...
5/3/2026 3:07:20 AM  5/3/2026 4:06:10 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\unit_9_v...
5/3/2026 3:07:25 AM  5/3/2026 3:57:57 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:07:30 AM  5/3/2026 4:08:23 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:07:36 AM  5/3/2026 4:15:28 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:07:41 AM  5/3/2026 4:17:43 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:07:46 AM  5/3/2026 3:48:00 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\unit_9_r...
5/3/2026 3:11:10 AM  5/3/2026 4:14:02 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\unit_10_...
5/3/2026 3:11:20 AM  5/3/2026 4:09:30 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:11:57 AM  5/3/2026 4:03:18 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:12:02 AM  5/3/2026 4:07:02 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:12:06 AM  5/3/2026 4:10:41 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_5...
5/3/2026 3:12:13 AM  5/3/2026 4:13:37 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\unit_10_...
5/3/2026 3:14:42 AM  5/3/2026 4:12:57 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\unit_11_...
5/3/2026 3:14:51 AM  5/3/2026 4:16:28 AM   C:\MGU\desk\lessons\math\arithmetic-desk\arithmetic-ebook\part_4\lesson_6...
