CreationTime          LastWriteTime         FullName
8/2/2026 12:55:21 AM  8/2/2026 12:55:23 AM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\broken-win...
8/2/2026 12:55:32 AM  8/2/2026 12:56:28 AM  C:\MGU\library\reference\fact-sheets\concepts-and-terminology\mass-incar...
8/2/2026 12:55:39 AM  8/2/2026 12:56:50 AM  C:\MGU\library\reference\fact-sheets\laws-and-legislation\insurrection-a...
8/2/2026 2:23:10 AM   8/2/2026 2:23:57 AM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\stop-and-f...
8/2/2026 2:24:41 AM   8/2/2026 2:24:57 AM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\militariza...
8/2/2026 2:25:10 AM   8/2/2026 2:25:43 AM   C:\MGU\library\reference\fact-sheets\concepts-and-terminology\school-to-...
8/2/2026 2:43:35 AM   8/2/2026 2:43:36 AM   C:\MGU\library\reference\fact-sheets\investigative-commissions\kerner-co...
8/2/2026 2:55:00 AM   8/2/2026 2:55:02 AM   C:\MGU\library\reference\fact-sheets\investigative-commissions\webster-c...
8/2/2026 2:58:22 AM   8/2/2026 2:58:23 AM   C:\MGU\library\reference\fact-sheets\investigative-commissions\christoph...
8/2/2026 3:05:46 AM   8/2/2026 3:05:48 AM   C:\MGU\library\reference\fact-sheets\organizations\black-panther-party.html
8/2/2026 3:11:19 AM   8/2/2026 3:11:21 AM   C:\MGU\library\reference\fact-sheets\organizations\deacons-for-defense-a...
8/2/2026 3:23:16 AM   8/2/2026 3:23:18 AM   C:\MGU\library\reference\fact-sheets\political-movements\black-power-mov...
8/2/2026 3:23:25 AM   8/2/2026 3:23:26 AM   C:\MGU\library\reference\fact-sheets\historical-events\long-hot-summer-1...
8/2/2026 3:34:57 AM   8/2/2026 3:34:58 AM   C:\MGU\library\reference\fact-sheets\historical-events\detroit-rebellion...
8/2/2026 3:35:01 AM   8/2/2026 3:35:02 AM   C:\MGU\library\reference\fact-sheets\historical-events\newark-rebellion-...
8/2/2026 2:46:17 PM   8/2/2026 2:46:30 PM   C:\MGU\desk\0-priority\latest job\fact sheet entries.txt
8/2/2026 2:47:33 PM   8/2/2026 2:47:33 PM   C:\MGU\desk\news\opinion\opinion-karmelo.txt
8/2/2026 2:49:52 PM   8/2/2026 2:49:52 PM   C:\MGU\desk\news\opinion\Basic Black Codes.txt
8/2/2026 3:18:08 PM   8/2/2026 3:18:08 PM   C:\MGU\desk\news\opinion\opinion-karmelo-2.txt
8/2/2026 3:50:12 PM   8/2/2026 3:51:02 PM   C:\MGU\library\reference\fact-sheets\investigative-commissions\index.html
8/2/2026 3:56:46 PM   8/2/2026 3:56:46 PM   C:\MGU\desk\dict\institutions.txt
8/2/2026 3:57:04 PM   8/5/2026 4:11:10 PM   C:\MGU\desk\dict\peonage.txt
8/2/2026 4:26:06 PM   8/2/2026 4:26:06 PM   C:\MGU\desk\dict\abrogation.txt
8/2/2026 4:46:44 PM   8/2/2026 4:47:20 PM   C:\MGU\library\reference\fact-sheets\government-programs\freedmens-burea...
